PABC	49.138587951660156
PACG	63.17592239379883
PAHG	76.869873046875
PAKC	22.320701599121094
PAIH	11.91988754272461
PAEC	24.03849220275879
PAPD	790.7987670898438
KBMX	194.6989288330078
KEOX	131.83584594726562
KHTX	536.827880859375
KMXX	122.27051544189453
KMOB	63.107784271240234
KSRX	194.7249755859375
KLZK	173.2894744873047
KFSX	2262.564208984375
KIWA	412.1756591796875
TPHX	313.5082092285156
KEMX	1587.42236328125
KYUX	53.04239273071289
KBBX	52.21339416503906
KEYX	840.7640991210938
KBHX	732.1908569335938
KVTX	831.1862182617188
KDAX	8.882238388061523
KNKX	291.60906982421875
KMUX	1043.2230224609375
KHNX	75.652099609375
KSOX	923.04638671875
KVBX	370.7438049316406
KFTG	1675.864501953125
KGJX	3046.54345703125
KPUX	1598.4906005859375
TDEN	1718.9879150390625
KDOX	14.574380874633789
KEVX	42.197593688964844
KJAX	5.7820000648498535
KBYX	1.8528931140899658
KMLB	9.702178001403809
KAMX	2.5369999408721924
TFLL	2.4545352458953857
TMIA	2.5230000019073486
TMCO	22.013717651367188
TTPA	3.1334524154663086
TPBI	5.597696781158447
KTLH	18.581315994262695
KTBW	11.6137113571167
KFFC	256.79901123046875
KVAX	52.96098709106445
KJGX	156.95668029785156
TATL	294.1871643066406
PHKI	59.084163665771484
PHKM	1159.840576171875
PHMO	412.7291259765625
PHWA	417.9053649902344
KDMX	298.5923156738281
KDVN	229.0994415283203
KCBX	934.9834594726562
KSFX	1363.857666015625
KLOT	201.5677490234375
KILX	176.84559631347656
TMDW	199.52882385253906
TORD	196.67686462402344
KVWX	155.51202392578125
KIWX	291.6222839355469
KIND	239.98587036132812
TIDS	228.64935302734375
KDDC	789.3623046875
KGLD	1113.401611328125
TICH	386.64434814453125
KTWX	416.5720520019531
KICT	407.45770263671875
KHPX	173.83642578125
KJKL	428.4989013671875
KLVX	215.16807556152344
KPAH	118.87200164794922
TSDF	187.9867706298828
KPOE	123.97936248779297
KLCH	3.6862435340881348
KLIX	6.776136875152588
KHDC	11.91809368133545
KSHV	82.50459289550781
TMSY	1.3018651008605957
KBOX	35.2307243347168
TBOS	46.810245513916016
TADW	71.49148559570312
TBWI	54.68602752685547
TDCA	75.65330505371094
KCBW	227.1503143310547
KGYX	123.84002685546875
KDTX	324.22991943359375
KAPX	445.1224365234375
KGRR	236.4654083251953
KMQT	429.61285400390625
TDTW	200.95164489746094
KDLH	435.2373046875
KMPX	288.08251953125
TMSP	315.3392028808594
KEAX	305.0456848144531
KSGF	389.004150390625
KLSX	182.43698120117188
TMCI	313.2330627441406
TSTL	167.5838165283203
KGWX	144.89437866210938
KDGX	150.78282165527344
KBLX	1097.02099609375
KGGW	693.3614501953125
KTFX	1131.38330078125
KMSX	2419.79150390625
KMHX	8.786664009094238
KRAX	105.28114318847656
TCLT	229.7427978515625
TRDU	122.26051330566406
KLTX	18.24585723876953
KBIS	505.19073486328125
KMVX	299.2630310058594
KMBX	454.7051086425781
KUEX	602.1260986328125
KLNX	903.7166137695312
KOAX	349.455810546875
TEWR	6.073983669281006
KABX	1788.8419189453125
KFDX	1417.6697998046875
KHDX	1285.6298828125
KLRX	2053.029541015625
KESX	1471.098388671875
KRGX	2527.256591796875
TLAS	608.0974731445312
KENX	556.1304931640625
KBGM	494.10552978515625
KBUF	209.7607879638672
KTYX	554.6719360351562
TJFK	3.5794684886932373
KOKX	25.200458526611328
KCLE	231.51950073242188
TCVG	283.6042175292969
TLVE	249.86264038085938
TCMH	315.7738342285156
TDAY	281.0181579589844
KILN	321.4715576171875
KFDR	383.3090515136719
KTLX	368.083251953125
TOKC	363.6320495605469
TTUL	216.52163696289062
KINX	203.53233337402344
KVNX	368.4210205078125
KMAX	2283.27783203125
KPDT	462.31622314453125
KRTX	480.3377685546875
KDIX	44.64801025390625
KPBZ	360.5770568847656
KCCX	731.6121826171875
TPHL	10.17945671081543
TPIT	387.0473937988281
TJUA	851.3372192382812
TSJU	13.102091789245605
KCLX	28.558185577392578
KCAE	69.766357421875
KGSP	285.8369140625
KABR	396.94775390625
KUDX	918.66357421875
KFSD	435.4618225097656
KMRX	407.1441345214844
KNQA	85.53721618652344
KOHX	172.4981689453125
TMEM	113.48193359375
TBNA	218.97169494628906
KAMA	1093.4508056640625
KBRO	6.3485894203186035
KGRK	163.6630096435547
KCRP	13.187578201293945
KFWS	207.9022979736328
KDYX	458.9366455078125
KEPZ	1252.755126953125
KHGX	4.455470085144043
KDFX	344.5829772949219
KLBB	993.4093627929688
KMAF	873.8672485351562
KSJT	576.3064575195312
KEWX	192.93231201171875
TDAL	165.6641845703125
TDFW	169.01824951171875
THOU	10.676067352294922
TIAH	48.67491149902344
KICX	3233.079345703125
KMTX	1964.6358642578125
TSLC	1286.4945068359375
KFCX	874.1539916992188
KLWX	88.216064453125
TIAD	109.07758331298828
KAKQ	32.98857879638672
KCXX	96.38585662841797
KLGX	22.538150787353516
KATX	146.44219970703125
KOTX	729.5703735351562
KGRB	206.00242614746094
KARX	388.4158020019531
KMKX	292.17352294921875
TMKE	249.43096923828125
KRLX	328.8501281738281
KCYS	1866.882568359375
KRIW	1696.1778564453125
FWLX	279.63275146484375
WILU	214.04641723632812
KULM	26.781879425048828
MZZU	253.65066528320312
DAN1	359.6009826660156
DOP1	359.6009826660156
FOP1	359.6009826660156
NOP3	359.6009826660156
NOP4	359.6009826660156
ROP3	359.6009826660156
ROP4	359.6009826660156
OP5R	516.4724731445312
KOUN	359.6009826660156
