De Bilt	5.671458721160889	4.962628364562988
Den Helder	5.929361343383789	5.085204601287842
Herwijnen	4.179210186004639	0.7206414341926575
Jabbeke	3.13798713684082	0.10710913687944412
Wideumont	561.3246459960938	548.0109252929688
Zaventem	31.71109771728516	30.893014907836914
Helchteren	73.83039855957031	83.47858428955078
Borkum	2.311026573181152	2.915403366088867
Boostedt	92.63587188720703	97.03343963623047
Dresden	225.3342132568359	224.87515258789062
Eisberg	772.39501953125	776.868408203125
Emden	4.85880184173584	4.651971817016602
Essen	154.7827301025391	154.1547393798828
Feldberg	1493.369506835938	1484.4342041015625
Flechtdorf	552.8968505859375	553.6406860351562
Hannover	52.08722305297852	57.35880661010742
Isen	632.4013671875	633.8530883789062
Memmingen	669.1181640625	669.9300537109375
Neuhaus	848.1505126953125	850.2412109375
Neuheilenbach	552.72802734375	551.48779296875
Offenthal	210.9775390625	212.4144744873047
Prötzel	141.9679412841797	147.44468688964844
Rostock	1.493977546691895	0.7850555181503296
Türkheim	733.7685546875	733.8219604492188
Ummendorf	155.4023132324219	157.8878173828125
Cabauw	-0.1510138064622879	0.8038089871406555
Brzuchania	396.6358947753906	398.973876953125
Gdańsk	140.2434692382812	135.16665649414062
Legionowo	94.99676513671875	92.34028625488281
Pastewnik	666.6026611328125	668.3472290039062
Poznań	91.80927276611328	96.18202209472656
Ramża	330.249755859375	330.81951904296875
Rzeszów	211.2652587890625	209.89466857910156
Świdwin	113.5605087280273	115.06243133544922
Użranki	189.8833923339844	191.00579833984375
Juvre	1.908397793769836	2.310589551925659
Sindal	85.86917877197266	86.06409454345703
Bornholm	162.1195220947266	161.14283752441406
Stevns	36.67509841918945	32.56039047241211
Virring Skanderborg	125.1609802246094	121.02960205078125
Abbeville	70.92642974853516	69.69590759277344
Avesnes	191.4052276611328	190.09945678710938
Falaise	155.0917510986328	153.6469268798828
Trappes	167.1827697753906	171.3308563232422
